sort_name,source
"Rappaport, Ruth, 1923-2010",NACO Authority File [SYNC]
"Denton, Eric B. (Eric Bruce)",Local Sources [SYNC]
"Hemphill, Cynthia Flash",Local Sources
"Morhaime, Sophie",Local Sources
"Sether, Percy, 1886-1937",Local Sources [SYNC]
"Lannge, Nils, 1906-1995",Local Sources [SYNC]
"Schurman, Clark E., 1882-1955",Local Sources
"Zaslove, Arne",NACO Authority File
"Simon, Herb, 1943-",Local Sources
"Calvo, Brian, 1976-",Local Sources [SYNC]
"Weingarten, Marianne",Local Sources
"McLean, Mildred Evans",NACO Authority File
"Lackman, Janet B.",Local Sources
"Sytman, Alexander",Local Sources
"Greaves, Gary, 1951-2009",Local Sources [SYNC]
"Radinsky, Lillian",Local Sources
"Spring, Lucille Almeleh",Local Sources [SYNC]
"Spurr, Joy, 1919-2009",NACO Authority File
"Rice, Rick, 1940-",Local Sources
"Pitharoulis, Cae",Local Sources
"Lambert, George W., -1971",Local Sources
"Yockey, Roger",NACO Authority File [SYNC]
"Dicks, Norman D.",Unspecified Ingested Source
"Collie, Ross F.",Local Sources
"Nelson, Lonnie, 1932-2014",Local Sources [SYNC]
"George, Earl, 1894-1985",Local Sources [SYNC]
"Davis, Ed, 1880?-1987",Local Sources [SYNC]
"Stamets, John, 1949-",NACO Authority File [SYNC]
"Elliott, John W. (John William), 1883-1971",Local Sources
"Collins, Dorothy, 1916-2008",NACO Authority File [SYNC]
"Thompson, Guy W. (Guy William), 1891-1989",Local Sources
"Estes, William Edwin, 1946-2014",NACO Authority File
"Holzman, A.J.M.",Local Sources [SYNC]
"Irish, Donald P.",NACO Authority File
"Fairbanks, Avard T. (Avard Tennyson), 1897-1987",NACO Authority File [SYNC]
"Cowell, Adrian",NACO Authority File [SYNC]
"Kusakovich, Theodore",Local Sources [SYNC]
"Pickard, G. A.",Local Sources
"McCulloch, C. Michael",Local Sources
"Warshal, Dennis",Local Sources [SYNC]
"Huston, John, 1906-1987",NACO Authority File
"Atkins, Henry Allen, 1827-1885",Local Sources [SYNC]
"Penny, Prudence",NACO Authority File
"Hutchison, Margaret W (Woodland)",Local Sources
"Hayward, Ruth Elaine",Local Sources [SYNC]
"Modelski, George",NACO Authority File
"Oppenheimer, Walter",Local Sources
"Schaaf, Norm",Local Sources
"Azose, Isaac",Unspecified Ingested Source
"Wagner, Clyde",Local Sources
"Gibson, Harold J., 1913-1984",Local Sources [SYNC]
"Callahan, Margaret Bundy",Local Sources
"Elam, James L., 1906-1982",Local Sources
"Hagenstein, William D.",NACO Authority File [SYNC]
"Minto, Lee",Local Sources
"Schuhmann, Eleanor",Local Sources
"Van Houten, Clara",Local Sources
"Hallock, Peter R.",NACO Authority File [SYNC]
"Harlow, Frederick Pease",NACO Authority File [SYNC]
"Dunthorne, Stephen",Local Sources
"Bennett, Linton P.",Local Sources
"Miller, Charles B. (Charles Benjamin), 1888-1960",Local Sources [SYNC]
"Irving, Tom, 1896-1979",Local Sources
"Warner, Edith Ruth, 1898-1925",Unspecified Ingested Source
"Haynes, Wanda Lee Adams",NACO Authority File
"Thomas, Abram J.",Local Sources [SYNC]
"Elliott, Merton",Unspecified Ingested Source
"Savage, George Milton, 1865-1938",Local Sources [SYNC]
"Symons, Myron",Unspecified Ingested Source
"Houghton, E. W. (Edwin Walker), 1856-1927",Local Sources [SYNC]
"Babcock, William, 1851-1918",Local Sources [SYNC]
"Judkins, David R. (David Roby), 1836-1909",Unspecified Ingested Source
"Poindexter, Miles, 1868-1946",NACO Authority File [SYNC]
"Merrill, Elbridge Warren, 1870-1929",Local Sources [SYNC]
"Woodby, Alice",Unspecified Ingested Source
"Robbin, Imogene Miller",Unspecified Ingested Source
"Waldman, Selma, 1938-2008",Local Sources
"Sturholm, Phil",NACO Authority File [SYNC]
"Sonneman, Joseph",Local Sources
"Falkenberg, Paul",NACO Authority File
"Fetters, Mildred",Local Sources
"Liddle, Alan, 1922-2009",NACO Authority File [SYNC]
"Misener, Roy B. (Roy Brooks), 1896-1955",Local Sources [SYNC]
"Krasnowsky, Frank",NACO Authority File
"Cole, Geraldine V.",Local Sources
"Peha, Joe",Local Sources
"Iosif, Stefan O. (Stefan Octavian), 1875-1913",NACO Authority File [SYNC]
"Fitzgerald, Emerson G.",Local Sources [SYNC]
"Van Cleef, Marjorie",Local Sources
"Foreman, Leotta Marie",Local Sources [SYNC]
"Douglas, Jim, 1946-2017",NACO Authority File [SYNC]
"Lewis, Carl B. (Carl Bernard), 1905-1982",Local Sources
"Thilberg, Nancy Louise, 1921-2013",Local Sources [SYNC]
"Escalona, Daniel",Local Sources
"Daniels, Barbara Danz",Local Sources [SYNC]
"Long, William G. (William George), 1894-1974",NACO Authority File [SYNC]
"Koppel, Anci",Local Sources [SYNC]
"Culbertson, Alice",Local Sources
"Fine, David",Local Sources
"Bigelow, Eileen",Local Sources [SYNC]
"Clift, Ray",Local Sources
"Agranoff, Julian",Local Sources
"Anderson, Carl Lawrence, 1923-",NACO Authority File [SYNC]
"Perryman, Charles",Local Sources
"Ordway, Frederick K.",Local Sources
"Yarrow, Ruth",NACO Authority File
"Pennock, William J. (William Jonathan), d. 1953",NACO Authority File
"Muller, Ted C.",Local Sources
"Rivera, Guillermo",Local Sources
"Swank, Doug",Local Sources
"Buckner, Fannie Marylander",Local Sources [SYNC]
"Waskowitz, Frank (Fritz) T.",Local Sources
"Tollefson, James W.",NACO Authority File
"Cameron, Frank",Local Sources
"Norling, Ernest R. (Ernest Ralph), 1892-",NACO Authority File [SYNC]
"McAllen, John L.",Local Sources
"Synnestvedt, Harald",Local Sources [SYNC]
"Gordon, Lucille Charlotte",Local Sources [SYNC]
"Vincent, Audra",Local Sources [SYNC]
"Hukari, Thomas E.",NACO Authority File [SYNC]
"Krutak, Lars F.",NACO Authority File [SYNC]
"Lovick, Olga Charlotte",NACO Authority File
"Hildebrandt, Darlene Myers",NACO Authority File
"Gilsdorf, Thomas E.",NACO Authority File
"Orians, Gordon H.",NACO Authority File
"Berge, Anna",NACO Authority File [SYNC]
"Pasco, Duane",NACO Authority File [SYNC]
"Batchelor, Anne",Local Sources
"Ross, Glynn W., 1914-2005",NACO Authority File [SYNC]
"Snow, Cliff",Local Sources
"Crawford, Donald",Local Sources
"Steinberg, Dora",Local Sources
"Dichavic?ius, Rimantas, 1937-",NACO Authority File [SYNC]
"Molver, Anker",Local Sources [SYNC]
"Fukui, David",Local Sources
"Sayres, Stanley S.",Local Sources [SYNC]
"Chandless, Robert Henry, 1880-1951",NACO Authority File [SYNC]
"Vincenzi, Frank F.",NACO Authority File [SYNC]
"Mitchell, Terence",NACO Authority File
"Kramer, Gideon A.",Local Sources [SYNC]
"Wade, Kathryn",Local Sources
"James, Don, 1932-2013",NACO Authority File [SYNC]
"Rieder, Ross K.",NACO Authority File
"Fox, Michael J. (Michael James), 1944-",Local Sources
"Randall, Byron",Local Sources [SYNC]
"Kunstadter, Peter",NACO Authority File [SYNC]
"Parks, Norman B.",NACO Authority File [SYNC]
"Grosshans, Annie",NACO Authority File
"Cress, John D., 1864-1940",Local Sources [SYNC]
"Sothern, Ann, 1909-2001",NACO Authority File
"Kechley, Gerald",NACO Authority File
"Drew, D. H. (Donald H.)",Local Sources [SYNC]
"Miles, Edward L.",NACO Authority File [SYNC]
"Abel, Don",Unspecified Ingested Source
"Stewart, James G., 1852-1918",Local Sources
"Sweet, George",Local Sources
"Cushman, F. H.",Local Sources
"Curtis, George Harry, 1901-1999",Local Sources
"Basetti, Fred",Local Sources
"Weber, Carl, 1937-2011",Local Sources [SYNC]
"Brady, Jerry",NACO Authority File [SYNC]
"Miller, Charles A.",Local Sources [SYNC]
"Savage, Roy",Local Sources
"Auerbach, Marc, (Photographer)",Local Sources
"Moore, Joseph, 1932-",NACO Authority File [SYNC]
"Kolloen, Peter",Local Sources
"Gilman, Herman",Local Sources [SYNC]
"Clifford, Bill",Local Sources [SYNC]
"Whitman, Frank (Of the Inlandboatmen's Union of the Pacific)",NACO Authority File [SYNC]
"Magalnick, Joel",Local Sources [SYNC]
"Mihas, Elena",NACO Authority File
"Meikle, William, 1885-1968",Local Sources [SYNC]
"Winston, Marjorie Fisher, 1921-1945",Local Sources
"Wu, Xianzi, 1881-1959",NACO Authority File [SYNC]
"Matson, Robert E.",Local Sources [SYNC]
"Beezer, Robert R., 1928-2012",NACO Authority File [SYNC]
"Roseman, Lawrence J.",Local Sources
"Schocken, Herman",Local Sources [SYNC]
"Hamblin, W. Kenneth (William Kenneth), 1928-2009",NACO Authority File [SYNC]
"Ziontz, Alvin J.",NACO Authority File [SYNC]
"Johnson, d'Elaine",NACO Authority File
"Bolton, Arthur Lawrence, 1876-1958",NACO Authority File [SYNC]
"Friedman, Jacob S.",Local Sources [SYNC]
"Feinberg, Morris",Local Sources
"Hagan, Roger",Local Sources
"Wyllie, Jim",Local Sources
"Iazykova, Maria G.",Local Sources
"Corets, Ellis",Local Sources
"Randlett, Mary, 1924-",NACO Authority File [SYNC]
"Morell, Karen L.",NACO Authority File [SYNC]
"Yost, Allan",Local Sources
"Allen, Al",Local Sources
"Oreiro, Mac C., Jr.",Local Sources
"Enami, T., 1859-1929",NACO Authority File [SYNC]
"Coffin, James L., 1931-2007",Local Sources
"Willis, Bailey, 1857-1949",NACO Authority File [SYNC]
"Russell, Hugh H. (Hugh Hopkins), 1899-1959",Local Sources [SYNC]
"Lougheed, Howard",Local Sources
"Temcov, Joanne L. (Joanne Little)",NACO Authority File
"Roethke, Beatrice",NACO Authority File [SYNC]
"Evans, William W.",Local Sources
"Thomas, J. E. (Jesse Edward)",Local Sources
"Davidson, Sue, 1925-",NACO Authority File [SYNC]
"Mason, Nancy",Local Sources
"Luse, Warren E., 1920-2008",Local Sources [SYNC]
"Smith, E. Victor",Local Sources [SYNC]
"Goldstein, Sarah Cohl",Local Sources
"Cline, Walter, 1907-2006",Local Sources [SYNC]
"Rose, Norman J.",Local Sources [SYNC]
"Fletcher, Fred A.",Local Sources
"Beezley, B.F.",Local Sources
"Ehrlich, Fred, 1939-",Local Sources [SYNC]
"Rieb, Nena",Local Sources
"Reise, Frank",Local Sources [SYNC]
"Fraser, Clara, 1923-1998",NACO Authority File [SYNC]
"Ogawa, Victor, 1912-1936",Local Sources [SYNC]
"DuPen, Everett, 1912-2005",NACO Authority File [SYNC]
"Rollwagen, John",Local Sources
"Block, Henrietta, 1897-1989",Local Sources [SYNC]
"Gown, Allen M.",NACO Authority File [SYNC]
"Toosarvandani, Maziar",NACO Authority File
"Repass, Michael",Local Sources
"Mann, William G., 1888-1930",Local Sources
"Anensen, Marie Ingrid",Local Sources
"Amon, Solomon",Local Sources
"Kahn, Esther Chiprut",Local Sources
"Skelley, Grant",Local Sources
"Butakov, Alexsandr, 1881-1914",Local Sources
"Craig, George W.",Local Sources [SYNC]
"Ross, Lawrence, 1937-",Local Sources [SYNC]
"Boeing, Emma Lois",Local Sources
"Fejer, Zoltan",Local Sources
"Miller, Merle Clifford, 1918-1996",Local Sources
"Wampler, Robert",Local Sources
"Bennion, Chris",Local Sources
"Kurzweil, Jenny",NACO Authority File
"Pedersen, Louis H.",Local Sources
"Matanich, Mike",Local Sources [SYNC]
"Rucker, Vivian L.",Local Sources
"Priestley, M. W.",Local Sources
"Tehon, Susan",Local Sources
"Koons, Francis, 1902-1997",Local Sources [SYNC]
"Amidei, Terry",NACO Authority File [SYNC]
"Helfgott, Anna, 1899-1996",Local Sources [SYNC]
"Pope, George A., 1864-1942",NACO Authority File [SYNC]
"Guiteau, Luther Wilson",Local Sources
"Bose, Christine E.",NACO Authority File [SYNC]
"Short, Gregory, 1938-1999",NACO Authority File [SYNC]
"Herschkowitz, Robert",Local Sources [SYNC]
"Jensen, Grace",Local Sources [SYNC]
"Post, Austin",NACO Authority File [SYNC]
"Savan, Jean Singer",Local Sources [SYNC]
"Bliss, Heather",Local Sources
"Spragens, John, 1944-2013",Local Sources
"Chen, Stanford",NACO Authority File [SYNC]
"Swanstrom, Mary Ethel Semple",NACO Authority File
"Anderson, Ralph",Local Sources
"Leeson, Adelaide Hanscom, 1876-1932",Unspecified Ingested Source
"Varela Phillips, Dolores",Local Sources
"Easterbrook, Don J.",Unspecified Ingested Source
"Barton, Kearney W., 1931-2012",NACO Authority File
"Atkins, Milo",Local Sources
"Goldberg, Harry",
"Skoog, Joseph L.",Local Sources
"Hill, Francis E., 1927-2001",
"Wright, John Dutton, 1866-1952",NACO Authority File
"Sick, Martha White, d. 1992",Unspecified Ingested Source
"McLaughlin, Frank, 1895-1972",NACO Authority File [SYNC]
"Frey, Lawrence E.",Unspecified Ingested Source
"Danz, Carolyn",Unspecified Ingested Source
"Cain, Lodoen Purdy",Unspecified Ingested Source
"Page, Thomas Jennings, 1912-1991",Local Sources [SYNC]
"Gump, Owen",Unspecified Ingested Source
"Thomas, Edward B., 1920-1984",NACO Authority File
"McFarland, Curt",Unspecified Ingested Source
"Miller, N. B.",Unspecified Ingested Source
"Boyle, Susan D. (Susan Dian)",Unspecified Ingested Source
"Hegg, Eric A., 1867-1948",NACO Authority File
"Root, Colleen",Unspecified Ingested Source
"Johnson, Tanya",Unspecified Ingested Source
"Sayre, J. Willis (James Willis), 1877-1963",NACO Authority File
"Rognon, Orville J., 1880-1958",Unspecified Ingested Source
"Thomas, Edward B.",Unspecified Ingested Source
"Lindholm, Charles Arthur",Unspecified Ingested Source
"Parcher, Frederick Phillip, 1895-1985",Unspecified Ingested Source
"Craig, Marybelle",Unspecified Ingested Source
"Brooks, Zola O., 1892-1959",Unspecified Ingested Source
"Brooks, Richard Edwin, 1865-1919",Unspecified Ingested Source
"Bradley, Robert",Unspecified Ingested Source
"Bogardus, Helen E., 1899-",Unspecified Ingested Source
"Archie, Steve",Unspecified Ingested Source
"Naramore, Floyd A., 1879-1970",Unspecified Ingested Source
"Romans, William P.",Unspecified Ingested Source
"Lenggenhager, Werner",NACO Authority File [SYNC]
"Michaelson, Mary E.",Unspecified Ingested Source
"Pifer, Drury Augustus, 1905-",NACO Authority File
"Weil, Charles F.",Unspecified Ingested Source
"Sperry, Robert, 1927-",NACO Authority File
"Cook, Seymour Samuel",Unspecified Ingested Source
"Wagner, Charles Franklin",Unspecified Ingested Source
"Lundberg, Florence",Unspecified Ingested Source
"Morgan, R.S.",Unspecified Ingested Source
"Shorts, Calhoun, 1911-2003",Unspecified Ingested Source
"Helmboldt, Frederick George",Unspecified Ingested Source
"Williams, Shedrich",Unspecified Ingested Source
"Tobey, Ed",Local Sources
"Root, Virginia Taylor",Unspecified Ingested Source
"Woessner, Frank A.",NACO Authority File
"Wilse, Anders Beer, 1865-1949",NACO Authority File
"Stanley, William",Unspecified Ingested Source
"Neumann, Kay, 1907-1980",Unspecified Ingested Source
"Loudon, Max",Unspecified Ingested Source
"Ahrens, Richard",Unspecified Ingested Source
"Sperling, Otto",Unspecified Ingested Source
"Shaw, H. Walter",Unspecified Ingested Source
"Payton, Charles",Unspecified Ingested Source
"Lillis, John G., 1901-1976",Unspecified Ingested Source
"Chambers, Andrew Jackson, 1825-1908",Unspecified Ingested Source
"Britain, Lillian",Unspecified Ingested Source
Bocker,Unspecified Ingested Source
Lindsay,Unspecified Ingested Source
"Ellis, J. Boyd",Local Sources
"Darbous, Nan",Unspecified Ingested Source
"Franklin, Edward S.",Unspecified Ingested Source
"Farquharson, Wallace",Unspecified Ingested Source
"Stearns, Josiah O. (Josiah Onslow), 1860-1936",Unspecified Ingested Source
"Gormley, Henry, 1835-1922",Local Sources
"Huntington, Virginia,Â 1931-1980",Unspecified Ingested Source
"Weaver, Eugene M.",Unspecified Ingested Source
"Collins, Joyce, 1900-1984",Local Sources [SYNC]
"Langton, Basil",Unspecified Ingested Source
"Field, Eugene H.",Unspecified Ingested Source
"Ritchie, Peter R.",Unspecified Ingested Source
"Thwaites, John E. (John Edward), 1863-1940",NACO Authority File [SYNC]
"Shay, Alban",Unspecified Ingested Source
"MacKay, Ralph E.",Unspecified Ingested Source
"Randall, Edwin",Unspecified Ingested Source
"Phillips, W. S. (Walter Shelley), 1867-1940",NACO Authority File
"Barnes, A. H. (Albert Henry), 1876-",NACO Authority File [SYNC]
"Sapiro, Scotty",Unspecified Ingested Source
"Reed, Roland, 1864-1934",NACO Authority File [SYNC]
"Keen, Dora, b. 1871",Unspecified Ingested Source
"Sanford, Rollin, 1875-1944",Local Sources [SYNC]
"Werner, Ross",Unspecified Ingested Source
"Lee, James P. (James Patrick), 1894-",NACO Authority File
"Latham, Edward H.",Local Sources
"Cantwell, George G.",Unspecified Ingested Source
"Fay, Jean Bradford",Unspecified Ingested Source
"Smith, Cecil Haven",Unspecified Ingested Source
"McArthur, A.L.",Unspecified Ingested Source
"Bonsteel, David L.",Unspecified Ingested Source
"Waite, Alvin H.",Unspecified Ingested Source
"Rutter, Thomas H., 1837-1925",NACO Authority File [SYNC]
"Rice, Charles M.",Unspecified Ingested Source
"Kinne, A. B. (Albert Barnes)",NACO Authority File
"Dobbs, B. B. (Beverly Bennett)",NACO Authority File [SYNC]
"Parker, B.L.",Unspecified Ingested Source
"Wheeler, J. W. (James W), 1874-1974",Unspecified Ingested Source
"Fox, Dina E., 1891-1973",Local Sources
"Heath, E. A. (Eugene Arthur), 1857-1928",Unspecified Ingested Source
"Shaw, William T. (William Thomas), b. 1873",NACO Authority File
"Willoughby, Sarah, 1841-1913",NACO Authority File [SYNC]
"Waterman, T. T. (Thomas Talbot), 1885-",NACO Authority File [SYNC]
"Mears, Frederick, 1878-1939",Local Sources
"Gould, Carl Freylinghuysen, 1873-1939",NACO Authority File [SYNC]
"Gronholdt, Andrew",Unspecified Ingested Source
"Moore, George N.",Unspecified Ingested Source
"Glisan, Rodney",Unspecified Ingested Source
"Hartson, Nelson T.",Unspecified Ingested Source
"Cooper, Bennett",Unspecified Ingested Source
"Halferty, Barbara",Unspecified Ingested Source
"Reynolds, E.",Unspecified Ingested Source
"Sammis, E. M.",Unspecified Ingested Source
"Jacobsen, John T. (John Theodore), 1903-",NACO Authority File
"Lenfest, Mrs. Elmer",Unspecified Ingested Source
"Todd, Calvin F.",Unspecified Ingested Source
"Werner, August,Â 1893-1980",Unspecified Ingested Source
"Landes, Charles",Unspecified Ingested Source
"Herberg, Ruth",Unspecified Ingested Source
"Dunn, S.B.",Unspecified Ingested Source
Helen Koleman Quinn,Unspecified Ingested Source
"Twesky, Reva",Unspecified Ingested Source
"Bostwick, Louis L.",Unspecified Ingested Source
"Goff, O.S.",Unspecified Ingested Source
"Edwards, Harlan",Unspecified Ingested Source
"Van Olinda, O. S.Â (Oliver Scott),Â 1868-1954",Unspecified Ingested Source
"Antonino, Rose",Unspecified Ingested Source
"Hoover, J. Webster (Joseph Webster), 1883-1954",Unspecified Ingested Source
"Ford, John Fletcher",Local Sources [SYNC]
"Towne, Bertram C.",Unspecified Ingested Source
"Bussemaker, Angela Saturnia",Local Sources
"Morgan, Blanche, 1912-1981",Unspecified Ingested Source
"Wilson, Veazie, 1865-1895",NACO Authority File
"Killinger, Frank R.",Unspecified Ingested Source
J. B. Loundagin,Unspecified Ingested Source
"Sarvant, Henry M. (Henry Mason), 1860-1940",Unspecified Ingested Source
"Williams, Gordon",Unspecified Ingested Source
"Sempere, Thom",Unspecified Ingested Source
"Burnett, Tiny, 1888-1974",Local Sources [SYNC]
"Gorst, Vern C., 1876-1953",NACO Authority File
"Penington, Ruth, 1905-1998",NACO Authority File [SYNC]
"Keller, Harold C., 1903-1969",Local Sources [SYNC]
"Taylor, Fannie, 1873-1966",NACO Authority File
"Senkler, Elinor W.",Unspecified Ingested Source
"Russell, Clem",Unspecified Ingested Source
"Prosch, Thomas Wickham, 1850-1915",NACO Authority File
"Priestly, W. E.",Unspecified Ingested Source
"Poole, Jessie",Unspecified Ingested Source
"Mueller, James I.",Unspecified Ingested Source
"Moon, George",Unspecified Ingested Source
"Matsumoto, T.T.",Unspecified Ingested Source
"Ivey, Edwin J., 1883-1940",Local Sources [SYNC]
"Lancaster, S.E., Captain",Unspecified Ingested Source
"Wilmar, Diane",Unspecified Ingested Source
"Rhodes, Helen, 1875-1938",NACO Authority File [SYNC]
"Beidl, Jacqueline",Unspecified Ingested Source
"Kilbourn, Clayton",Unspecified Ingested Source
"Taubeneck, John",Unspecified Ingested Source
"Engberg, Henry",Unspecified Ingested Source
"Grand, William",Unspecified Ingested Source
"Gordon, Scott",Unspecified Ingested Source
"Donovan, J. J. (John Joseph), 1858-1937",Local Sources
"Boyd, William F., 1848-1918",NACO Authority File [SYNC]
"Brune, Martha E.",Unspecified Ingested Source
"Boland, M. D. (Marvin Dement)",NACO Authority File
"Esfeld, Sol,Â 1899-1984",Unspecified Ingested Source
"Bailey, Frank C.Â (Frank Clinton)",Unspecified Ingested Source
"Sato, Eddie, 1923-2005",NACO Authority File [SYNC]
"Hegg, P. L.Â (Peter L.)",Unspecified Ingested Source
"Bonds, Frank, 1890-",Unspecified Ingested Source
"Clark, Horace G.",Unspecified Ingested Source
"Massar, Phyllis Dearborn",NACO Authority File [SYNC]
"Cousens, Henry,Â 1854-1934",NACO Authority File
"Childs, Frank",Local Sources
"Andrews, Clarence Leroy, 1862-1948",NACO Authority File [SYNC]
"Meed, William E.",NACO Authority File [SYNC]
"Clark, L. Wilson",Unspecified Ingested Source
"Kinsey, Clark",NACO Authority File
"Clark, Donald Hathaway, 1890-1965",Local Sources [SYNC]
"Morton, Bernice",Unspecified Ingested Source
"Rogers, A. D.",Unspecified Ingested Source
"Forsythe, Lawrence F.",Unspecified Ingested Source
"Ethel, Garland, 1902-1980",NACO Authority File [SYNC]
"Ellingsen, Erling Olav",Unspecified Ingested Source
"Eichlin, Almyra Weiss",Unspecified Ingested Source
"Warner, H M.",Unspecified Ingested Source
"Linkletter, L. G. (Lloyd Garrison)",Local Sources [SYNC]
"Jacobs, Frank A., 1881-1979",Unspecified Ingested Source
"Fuller, M.",Unspecified Ingested Source
"Owens, Ray",Unspecified Ingested Source
"Kaiser, Ethel Chaiken Lippman",Unspecified Ingested Source
"Bradley, Levi",Unspecified Ingested Source
"Fortin, Felix",Unspecified Ingested Source
"Chapman, Hazle M.",NACO Authority File
