origination_name	Qid	unittitle	bioghist	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20	Column 21
"American Federation of Teachers. Local 401 (Seattle, Wash.)"		American Federation of Teachers Local 401 records	Labor organization of the University of Washington faculty. Local 401 became disaffiliated with the AFL in 1948.																		
"American Federation of Teachers. Local 1789 (Seattle, Wash.)"		"American Federation of Teachers, Local 1789 records"	"Seattle Central Community College Federation of Teachers was the name of the organization until circa 2002, and then was renamed the American Federation of Teachers, Local 1789. AFT Local 1789, represents teachers at the three campuses of Seattle's community colleges. Teachers, librarians, and counselors are considered faculty and are also represented by the union.

Source: http://aftseattle.wa.aft.org/about-us"																		
"American Federation of Teachers. Local 772 (Everett, Wash.)"		American Federation of Teachers Local 772 records	"This local was affiliated with the American Federation of Teachers. It represented kindergarten through 12th grade public school teachers. It was replaced by an NEA local, the Everett Education Association, ca. 1982."																		
American Federation of Teachers. Local 1485 (Yakima Valley College)		"American Federation of Teachers, Yakima Local 1485 records"																			
"Andes, Henry"		Henry Andes interview transcript																			
"Apostolidis, Paul, 1965-"		Paul Apostolidis interviews and research materials on Pasco meatpacking plant workers	"Paul Apostolidis teaches in the Government Department at the London School of Economics and Political Science in London, UK. Apostolidis was previously the T. Paul Chair of Political Science at Whitman College in Walla Walla, Washington where he taught classes on political theory and U.S. politics. His research focused on Latinx migrant laborers' work experiences, political organizations, and languages of collective action. His books include "																		
Association of Western Pulp and Paper Workers	Q16971094	Association of Western Pulp and Paper Workers records	"West Coast rank-and-file members of the International Brotherhood of Pulp, Sulphite and Paper Mill Workers (AFL-CIO) became dissatisfied with the conduct of wage negotiations by international vice-presidents and those of another international union, the United Papermakers and Paperworkers, with whom a Uniform Labor Agreement had been negotiated. In addition to this dissatisfaction, there was also a feeling that the internationals failed to adequately understand and address local issues. In response they established a new union, the Association of Western Pulp and Paper Workers, in 1964. Litigation followed, and the records document this. A NLRB election was conducted in October 1964, and the Western organization was certified as the Uniform Labor Agreement bargaining agent. The AWPPW survived an attempt by the two internationals to regain their dominance in 1967. As many of the mills pulled out of the Uniform Labor Agreement after this, contracts were negotiaited at the mill level which allowed for a greater degree of dealing with local issues on a mill by mill basis."																		
Eugene Barnett	Q73278937	Eugene Barnett oral history collection	"Eugene Barnett (1892-1973) was born in Caldwell, North Carolina. He worked as a mineworker from the age of eight. After moving to Southwest Washington sometime after 1908, he joined the Industrial Workers of the World. On November 11, 1919, he witnessed the attack on the IWW union hall in Centralia, was arrested, tried, and imprisoned for eleven years. After his release to care for his ill wife, he worked as a miner and in various other occupations."																		
"Bassett, Samuel B., 1896-1971"		Samuel B. Bassett papers	"Bassett was a Seattle plaintiffs lawyer who practiced with George Vandeveer from 1924-1942 and represented the Joint Council of Teamsters, No. 28 and various Teamster locals."																		
"Bates, Matthew C."		Matthew C. Bates papers	"From 1988-2002, Matthew C. Bates handled internal/external communication for the International Association of Machinists' work in the aerospace industry. Bates was involved with negotiations and strikes at the Boeing Company."																		
"Bell, S. Leonard"		S. Leonard Bell papers																			
"Boschok, Jackie, 1952-"		Jackie Boschok papers	"Jackie Boschok (b. April 24, 1952) was a 30-year member, employee, and officer of the International Association of Machinists (IAM) 751. Boschok was also an officer in the Coalition of Labor Union Women (CLUW) Puget Sound chapter as well as a member of the organization's national board. Boschok first became active in the union as soon as she started working at Boeing in 1980, working in a variety of positions and holding a variety of offices including steward and local lodge offices including recording secretary; treasurer; and auditor. Boschok served for seven years on the IAM District Council and worked as a Business Representative beginning in 2001, Union Organizer, and Health and Benefits Representative beginning in 2009. Boschok also served on the Snohomish County Labor Council from 1993-2010, serving on their Executive Board for 10 years and serving on its Community Services Committee. Boschock was a member and leader of the Coalition of Labor Union Women (CLUW) beginning in 1979 and in 1991 became a member of the national Executive Board. Boschok also served on the Washington State Labor Council's Women's Committee from 1994 to 2008, chaired the District 751 Women's Committee beginning in 2006, and served on the United Way of Snohomish County Board of Directors for six years."																		
"Brady, Jerry"		Jerry Brady papers	"Jerry Brady is a retired member of the International Longshore and Warehouse Union, Local 63 (Long Beach and Los Angeles ship's clerks) as well as an active member of the Pacific Coast Pensioners Association. Brady is a poet and often reads his original compositions at pensioner and ILWU related events throughout the Pacific Coast."																		
Brand Responsibility Project		Brand Responsibility Project records	"The Brand Responsibilty Project was a research project by UW Political Science professor Margaret Levi to document the campaign and dispute settlement between Nike Inc. and the Central General de Trabajadores of Honduras (CGT). Following the bankruptcy and closure in January 2009 of two Honduran factories (Hugger and VisionTex) that were part of Nike's supply chain, the CGT of Honduras claimed that Nike bore some of the responsibility for providing terminal compensation, benefits and priority rehiring for 1,800 factory employees. The plight of the Honduran factory workers came to the attention of various fair labor associations and university licensing advisory committees, including The University of Washington's Advisory Committee on Trademarks and Licensing (ACTL) has commenced an oral and digital history project on the recent and historic ACTL. In keeping with its mission, ACTL proceeded to evaluate whether or not Nike had violated the university's code of conduct (that Nike is contractually obligated to uphold) as the basis for its advice whether to renew or terminate the University of Washington's existing contract with Nike to supply university apparel. ACTL was part of a campaign to pressure Nike to ensure the workers received what was owed them under Honduran law. The dispute was resolved successfully when Nike announced on July 29th, 2010, that it had set aside $1.5 million as part of a compensation package for the terminated Hugger and VisionTex employees."																		
"Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express, and Station Employes. Northern Pacific System Board of Adjustment. Tacoma Division"		"Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express, and Station Employees, Northern Pacific System Board of Adjustment Tacoma Division records"	"Formerly Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express, and Station Employees, Northern Pacific System Board of Adjustment, Tacoma Division."																		
"Building & Construction Trades Council (Seattle, Wash.)"		Seattle Building & Construction Trades Council records	"The Seattle Building & Construction Trades Council coordinates the efforts of local unions in the building trades, including contract negotiations with employer organizations and apprenticeship and training programs. It was formerly the Seattle Building Trades Council. Following the passage of the Civil Rights Act of 1964 and Executive Order 11246, requiring equal employment opportunities in federally funded construction projects, the low numbers of minority workers in the constructions trades became a target of scrutiny. In Seattle and other cities across the country, there were efforts to increase minority membership in the building trade unions. As part of Seattle's participation in the federal Model Cities Program, Seattle issued affirmative action guidelines in 1969 for contractors seeking city contracts. The Seattle Urban League developed a program called Labor Education and Advancement Project, or LEAP. The Washington State Labor Council endorsed the establishment an apprenticeship ""Outreach"" program, to be funded by the U.S. Department of Labor and operated locally by the Seattle Opportunities Industrialization Center. The Seattle Building and Construction Trades Council favored instead a program with the Apprenticeship Information Center. Construction industry employers formed Affirmative Minority Construction Opportunity, Inc., to implement its minority hiring plan. None of these programs enjoyed the support of all of the industry, labor, and community interests needed for success.

In the meantime, community-based organizations were staging protests and fighting in the courts. In fall 1969, several lawsuits resulted when protests by community activists at publicly financed construction sites led to work stoppages. In October 1969, the U.S. Department of Justice brought suit against four buildings trade union locals and three apprenticeship and training committees under Title VII of the Civil Rights Act of 1964. In the suit, "																		
Building and Construction Trades Council of Bremerton and Vicinity		Building and Construction Trades Council of Bremerton and Vicinity records	"Records of a council composed of building trades unions working in and near Bremerton, Washington. Local building and construction councils coordinate the efforts of local unions that represent workers in the building and construction trades; lobby for policy impacting workers before the executive and legislative branches of state government; and deal with contractors, employer associations, project owners, and public bodies. The Executive Board sometimes acts on behalf of affiliate labor organizations in the legislative, regulatory, and judicial spheres in matters relating to wages, hours, working conditions, health and safety, regulation of work, and employment benefits."																		
"Building Service Employees' International Union. Local 6 (Seattle, Wash.)"		"Building Service Employees' International Union, Local 6 records"																			
"Bulosan, Aurelio"		Aurelio Bulosan papers	"Aurelio Bulosan was the elder brother of Carlos Bulosan, a Filipino-American author, poet, and migrant laborer who left the Philippines for Seattle in 1930."																		
Carlos Bulosan	Q5041871	Carlos Bulosan papers	"Carlos Sampayan Bulosan (c. 1911– September 11, 1956) was a Filipino American author, poet, and activist. A chronicler of the Filipino American experience in during the 1930s-early 1950s on the West Coast, he is best remembered for his semi-fictionalized autobiographical novel "																		
