id_0,name,collection,note
1900-003,"Pelly, Thomas M. (Thomas Minor), 1902-1973",Thomas M. Pelly scrapbooks,[Biographical Historical Note Needed]
1754-001,"Levin, Max J.",Max Levin papers,[Biographical Historical Note Needed]
01-028,University of Washington. School of Nursing. Occupational Health Nursing Program,"University of Washington, School of Nursing, Occupational Health Nursing Program records",[Biographical Historical Note Needed]
1838-011,Mountaineers (Society). Climbing Committee,Mountaineers Climbing Committee records,"Outdoor recreation and conservation club.Â¶ The Mountaineers was founded in Seattle, Washington in 1906. The first president was Edmund S. Meany. Standing committees were appointed at that first meeting of the club to take over the work and organization of the two main activities, the local and annual outings. The number of standing committees grew with the increasing membership and interests of the club. Mountain climbing has been one of the major interests. In 1935 climbing classes were organized to teach the fundamentals of Mountaineering. The Mountaineers were the first organized group to develop skiing in the Northwest. There are branches in Tacoma, Everett, and Olympia. The Climbing Committee was one of the early standing committees."
19-025,University of Washington Bothell. Office of Academic Affairs,"University of Washington, Bothell Office of Academic Affairs records","The Office of Academic Affairs (OAA) provides leadership and guidance for all components of UWB's academic mission. The Office coordinates academic programs and administrative structures; and it oversees development and implementation of academic policies and procedures. The OAA is headed by the Vice Chancellor for Academic Affairs, who collaborates closely with UWB's Chancellor and the General Faculty Organization (GFO). A strong tradition of shared governance connects the Office of Academic Affairs with the GFO.Â¶ The UWB academic leadership team includes the Vice Chancellor for Academic Affairs, the five academic program directors, the GFO chair and vice-chair, the associate dean for academic planning, and the two associate vice chancellors, the director of Student Affairs and the director of Library and Academic Services. This team meets regularly as the Academic Council, which serves as a forum for presenting, discussing, and shaping a wide range of academic policies, procedures, and new initiatives.Â¶ The Office of Academic Affairs also plays a central role in communicating with UWB's partners and external constituents. In numerous ways, it develops and reinforces connections between UW Bothell's academic programs, the community colleges, and the surrounding communities."
01-074,University of Washington. College of Education. Dean,"University of Washington, College of Education, Dean records",[Biographical Historical Note Needed]
1962-001,"Lundseck, G. Hilmer",Stories of the Swedish Pioneers in North America,[Biographical Historical Note Needed]
1870-014,"Nostrand, Howard Lee, 1910-2004",Howard L. Nostrand papers,"Professor of Romance languages, University of Washington.Â¶ Howard Lee Nostrand was born 1910. He taught in the Department of Romance Languages, and was chair of the department at University of Washington. Nostrand also served as cultural attache in Lima, Peru, 1944-1947. He was involved in a court case, Nostrand vs. Balmer, 1959, challenging loyalty oaths then required of University of Washington faculty. His professional associations included American Association of Teachers of French, American Civil Liberties Union of Washington, Modern Language Association of America, National Commission on Teacher Education and Professional Standards, National Education Association, Washington State Superintendent of Public Instruction."
01-042,University of Washington Press,University of Washington Press records,[Biographical Historical Note Needed]
1818-004,"Fisher, Anne Reeploeg",Anne Reeploeg Fisher papers,"A civil libertarian and member of the democratic socialist party, Anne Fisher dedicated much of her life to publicizing the unfair treatment of Japanese Americans during and after their World War II incarceration.Â¶ In 1942 Fisher supported the case of Gordon Hirabayashi when he deliberately violated curfew and relocation orders imposed on Japanese Americans, arguing that they were based on race and therefore unconstitutional. After turning himself in, Hirabayashi appealed to the Supreme Court, but failed to win his case.Â¶ Fisher did not give up her interest in the wartime incarceration of Japanese Americans after the war ended. For almost two decades after the war she conducted historical research, mostly from her Seattle area residence, to write a book about the incarceration. During this period she published part of her work in a bi-weekly newspaper called the Reporter. She also continued to advocate for Japanese Americans who did not receive just compensation for their treatment and for the possessions they lost during their incarceration. In the early 1950s Fisher also lobbied against the appointment of Earl Warren to the U.S. Supreme Court because of his wartime role in the Japanese American incarceration.Â¶ After almost two decades of research and trying to find a publisher, Fisher's book, Exile of a Race, was published in 1965. Exile of a Race argues strongly that there was never any evidence that Japanese Americans posed a threat and that all Americans should see the incarceration as evidence of the frailty of civil liberties in the U.S.Â¶ In the immediate postwar years Fisher also continued to advocate her leftist political beliefs and worked as a reporter for the Call a weekly socialist newspaper. For the paper she covered the 1945 United Nations charter conference."
1843-004,Seattle Civilian War Commission,Seattle Civilian War Commission records,[Biographical Historical Note Needed]
1944-004,"Winn, Norman L., 1939-",Norman L. Winn papers,"Lawyer and conservationist of Seattle, Washington."
2039-004,"Fuller, Richard E. (Richard Eugene), 1897-1976",Richard Fuller papers,"Richard E. Fuller was born in New York City in 1897. The Fuller family traveled extensively, visiting South America, Spain, Portugal, France, Egypt, and Palestine. It was the family's trips to China and Japan that began both Fuller and his mother's passion for Asian antiquities. Richard Fuller graduated from the Hill School in Pottstown, Pennsylvania in 1915 and attended Yale before dropping out in 1917 to volunteer as an ambulance driver in France during World War I. Â¶ In 1919, the Fuller family traveled to Yokohama where Fuller and his mother purchased a number of jades and other Asian antiquities, which would later be included in the Seattle Art Museum's collection. After returning to the United States, Fuller completed his bachelor's degree at Yale in 1921 and moved to Seattle in 1923. Fuller earned his second bachelor's degree in geology in 1924 and his master's degree in 1926 at the University of Washington where he later taught as a part time geology professor. Â¶ In 1928, Fuller joined the board of directors of the Seattle Fine Arts Society, where he, Horace C. Henry, and others amassed a small collection. The Seattle Fine Arts Society held exhibitions and lectures, while supporting local artists. Richard Fuller was elected president of the Seattle Fine Arts Society board in 1930. He submitted a proposal for the city of Seattle to construct a museum to house the Seattle Fine Arts Society's collection. The city accepted and Carl Gould, founder of the University of Washington School of Architecture, was hired to design the building. An architectural model of the museum was presented at the 1933 Chicago World's Fair, and Richard Fuller and his mother Margaret Fuller presented the completed building to the city on June 29, 1933. Â¶ Richard Fuller was the Seattle Art Museum's founding director and served as director for the next 40 years, though never drew a salary for the position. In addition to establishing the Seattle Art Museum as recognizing the value of Asian art early on, Richard also was a generous supporter of local artists. Richard's patronage included works by Morris Graves, Mark Tobey, Kenneth Callahan, and William Cumming. Â¶ Richard Fuller took on leadership roles nationwide, including being president of the Western Association of Art Museum Directors, president of the National Association of Art Directors, and was a member of the International Council of Museums. He was also a generous supporter of local institutions, donating to the Pacific Science Center, the Seattle Opera, the Seattle Symphony, and provided much of the Seattle Art Museum's funds at his own expense. Richard Fuller died December 10th, 1976. Â¶ "
1835-027,"Thompson, M. Terry",Laurence C. Thompson papers,"<p>Linguist Laurence C. Thompson (1926-) studied Salishan languages, Austroasiatic languages, and Vietnamese. He wrote and co-authored a number of texts including <emph>A Vietnamese Grammar</emph> (1965), <emph>A Vietnamese Reader</emph> (1961), and <emph>A Fresh Look at Tillamook Phonology</emph> (1966). He also worked with his partner M. Terry Thompson on Salishan linguistic research and they co-authored <emph>The Thompson Language</emph> (1992) and <emph>Thompson River Salish Dictionary</emph> (1998). The Thompsons studied Nlaka'pamuctsin (Thompson River Salish) for over thirty years and trained a number of graduate students during this fieldwork.</p>

<p>Laurence Cassius Thompson, Jr. was born in Manchester, New Hampshire on May 11, 1926. He received his BA, MA (1950), and PhD (1953) from Yale University. Thompson worked as a linguistics professor at the University of Hawaii for most of his career. Laurence and Maranell Lewise Terry married in Seattle, Washington in 1964.</p>

<p>Sources:</p>
<p>Ancestry.com. U.S., School Yearbooks, 1900-1990 [database on-line]. Provo, UT, USA: Ancestry.com Operations, Inc., 2010.</p>
<p>Jacobs, Travis Beal, and Benjamin R. Dixon. â€œLaurence Cassius Thompson, Jr.â€ In General Catalogue of Middlebury College: Bicentennial Edition. Middlebury, Vermont: Middlebury College Press, 2000, p. 363.</p>
<p>Washington State Archives; Olympia, Washington; Washington Marriage Records, 1854-2013; Reference Number: kingcoarchmc275541.</p>"
,"Thompson, Laurence C.",,"<p>Linguist M. Terry Thompson (1927-) studied Salishan languages. She co-authored <emph>The Thompson Language</emph> (1992) and <emph>Thompson River Salish Dictionary</emph> (1998) with her partner Laurence C. Thompson. M. Terry Thompson also edited <emph>Salish Myths and Legends: One People's Stories</emph> in 2008.</p>
<p>Maranell Lewise Terry was born in Colorado, Texas to Ross Lewis Terry and Emma Callie Nason. She married Laurence C. Thompson in Seattle, Washington in 1964.</p>
<p>Sources:</p>
<p>Taylor, Allan R. â€œReview of Thompson River Salish Dictionary.â€ <emph>International Journal of American Linguistics</emph> 64, no. 4 (1998): 398â€“404.</p>
<p>Texas Department of State Health Services. Texas Birth Certificates, 1903â€“1932. iArchives, Orem, Utah.</p>"
01-010,University of Washington. Office of Development,"University of Washington, Office of Development records",[Biographical Historical Note Needed]
2013122401,,[DISPERSAL RECORD] Mary Randlett Photographs,
2015-008,"Brill, Muriel Mosler, 1903-2000",Muriel Mosler Brill papers,"Samuel Mosler (1873-1948) was born in Austria to Lazarus and Mirel Mosler. He and his brother, Herman Mosler (1879-1948) immigrated to the United States in 1891 and opened several bakeries. They settled in Seattle, WA where they opened Mosler Bakery on Yesler Way. Samuel married Bertha Rickles (1880-1947) in 1900. They had three children, Nathan (1901-1956), Muriel (1903-2000) and George (1910-1989). Muriel Mosler married Benjamin Brill (1898-1971) on March 20th, 1932.The family is know to have resided at a house on Jackson Street (1902-1910) and an apartment building on Yessler Way. Bertha was born to Gershon Rickles (1853-1910) and Rochel Libeh Tomashin Rickles (1853-1938). The couple also had 8 other children: David J (a.k.a. Jake) (1872-1945), Max (1876-1945), Sophie (1878-1949), Simmie (1883-1978), Goldie (1886-1972), Samuel (1888-1978), Ester (1892-1993), and Pinchas Allen (1895-1959). Jake Rickles and Max Rickles owned the Red Front Furniture Company on 2nd Avenue."
1776-017,"Evans, Brock, 1937-",Brock Evans papers,"Brock Evans' career as a leader in the environmental movement began in the mid-1960's. He has held prominent positions in numerous environmental organizations. Evans represents the branch of the movement that believes in achieving environmental goals by changing government policy through political give and take, litigation, and legislative lobbying. Â¶ Evans served as the Northwest representative of the Sierra Club and of the Federation of Western Outdoor Clubs from 1967 to 1973, as acting director and director of the Washington D.C. office of the Sierra Club from 1973 to 1981, and as vice president for national issues for the National Audubon Society from 1981 to 1996. Evans also was the Audubon representative to the Ancient Forest Alliance circa 1988 to 1994. He also served on the board of a number of other environmental organizations, including the League of Conservation Voters and the Environmental Law Institute and the North Cascades Conservation Council. Most recently he has served as President of the Endangered Species Coalition Â¶ Born in 1937 in Columbus, Ohio, Evans earned his B.A. from Princeton in 1959. He spent two years in the U.S. Marine Corps and then earned his law degree at the University of Michigan while serving in the reserve of the Army Corps of Engineers. In 1963 Evans moved to Seattle and worked in a private law practice until his career changed course in the late 1960's. In 1966 while hiking in one of his favorite areas Evans encountered signs indicating that the ancient trees there were about to be logged. Infuriated by the impending loss of this forest, he left his private law practice and dedicated himself full-time to fighting environmental destruction. Â¶ Within very little time, Evans established himself as one of the leading environmentalists in the Pacific Northwest. From 1967 to 1973 he was the Northwest Representative for the Sierra Club and represented the Audubon Society through the Federation of Western Outdoor Clubs. As the Sierra Club Representative, he also was a co-founder of the Washington Environmental Council in 1968. During this time He became heavily active in state and regional environmental issues during this time. He organized citizen support and was the primary lobbyist in Washington State during the final crucial years when legislation was being formulated to establish North Cascades National Park. He led efforts to ensure that key parcels were included in the Pasayten and Glacier Peak Wilderness areas. His efforts led to renewed strength for campaigns to gain wilderness protection for the Alpine Lakes and other unprotected regions in the Cascades. In 1972 he received the Environmentalist of the Year award from the Washington Environmental Council. Â¶ In 1973, Evans moved into the national arena when he was named Director of the Sierra Club's Washington, D.C. office. In this position he lobbied Congress as well as administrative agencies, state and local governments, and other organizations on a wide range of environmental issues. Preserving Hell's Canyon was one of the major issues during his time at the Sierra Club. Private and public utility companies had wanted to dam this 100 mile stretch of Idaho's Snake River for over two decades, but had been unable to do so because of disputes about who would build and control the dam. In the 1970's, these energy interests came together and appeared able and willing to cooperate enough to undertake the project, but Evans set a historic precedent by filing the first environmental lawsuit in the Northwest against the dams. Then he, along with other environmentalists, successfully lobbied for federal legislation in 1975 that prevented any dam construction, legislation that Evans drafted himself. Â¶ During his time with the Sierra Club, Evans continued to gain a higher profile and a reputation as an outstanding lobbyist and leader. In 1977, U.S. News and World Report named him one of the most influential lobbyists in Washington, D.C., as did Fortune in 1982, showing not only his own strength, but the lobbying strength and legitimacy that environmentalists had gained. During this time he also served on the Environmental Advisory Board of the Army Corps of Engineers. Â¶ In 1981, Evans became the National Audubon Society's Vice-President for National Issues where he remained until 1996. During his career with the Audubon Society, the preservation of old growth forests in the Pacific Northwest was a major focus for Evans, as it had been throughout his career as an environmental advocate. Evans feared that timber companies were logging old growth forests too quickly and that the nation's ancient forests would soon be gone if nothing were changed. He believed that the ancient forest ecosystem could not be preserved by clear cutting patches of trees, as the Forest Service allowed timber companies to do. Â¶ Many of Evans's efforts to save ancient forests involved lobbying Congress, which had the power to change Forest Service policies and increase or limit logging in specific areas. In the mid 1980's, Evans and the Audubon Society directed much of their lobbying efforts toward Congressional appropriations committees, but met with only limited success. Evans and the Audubon Society then changed their strategy and teamed up with other environmental organizations to form the Ancient Forest Alliance. One of the coalition's new strategies involved focusing on the enforcement of existing laws to preserve forests, and the spotted owl soon became a central component of this strategy. The number of spotted owls was declining significantly because of logging in old growth forests. Environmentalists and biologists believed that the spotted owl was a \""management indicator species\"" and that its fortune was an indicator of the entire group of species in the old growth forests. For people such as Evans, the demise of this animal bolstered their belief in the importance of preserving the ancient forest ecosystem, but the owl's demise also gave them a new opportunity to prevent future logging. Because of the federal Endangered Species Act, which mandated the preservation of ecosystems that supported endangered species, classifying the owl as endangered would prevent logging in areas where they existed. However, the U.S. Fish and Wildlife Service was reluctant to list the owl as endangered, which Evans and others alleged was a result of timber industry influence and not because of scientific research. Because of environmentalists' litigious efforts, the federal courts in 1990 forced the Fish and Wildlife Service to list the spotted owl as \""threatened\"" and issued an injunction forbidding further habitatae destruction. These decisions were major victories for environmentalists and ended logging in many areas of ancient forests where spotted owls were believed to live. Â¶ Despite this victory, political battles over ancient forests continued between environmentalists and logging interests. Evans and others tried to press for more protected areas while logging interests tried to portray environmentalists as people who cared more about spotted owls than about loggers and the communities that depended on the timber industry. In 1993, the newly elected president Bill Clinton called a forest summit in Portland, Oregon to try to find compromise between logging interest and environmentalists. As a leader of one of the largest environmental organizations, Evans participated in the summit. Â¶ Another major issue for Evans during his time with the Audubon Society was the preservation of the Arctic National Wildlife Refuge (ANWR), located along the northern coast of Alaska. In the late 1980's, oil interest believed that there might be huge oil reserves in the Refuge but needed special legislation to open it to drilling. In 1989, a bill to allow drilling in the ANWR was about to pass through Congress when it suddenly was shelved because of the anti-oil backlash after the Exxon Valdez oil spill. Nonetheless, legislation to open the refuge continued to surface in the early 1990's, but Evans, along with other environmentalists, was able to block its passage through Congress. After 1992, bills to open the refuge did pass through Congress on more than one occasion, but with President Clinton sure to veto such legislation, Evans and other environmentalists gave the issue less attention. Â¶ Throughout most of his environmental career, Evans took a pragmatic approach to conservation and at times received harsh criticism from those who said he was willing to compromise. This tension was often evident between local grassroots organizations, including chapters of the Audubon Society, and D.C.-based groups such as the Sierra Club and Audubon offices that Evans helped guide. However, on at least on occasion, Evans took a militant stance when he, along with a former U.S. Representative, Jim Jontz, and other environmental activists, was arrested in 1995 for blocking a logging road in Oregon's Siskiyou National Forest. Evans was protesting what was known as the \""Salvage Rider\"" that allowed tree cutting but had passed into law only because it was attached to an important piece of unrelated legislation. Â¶ During his time with the Audubon Society, Evans continued to undertake many activities both related and unrelated to the society's work. In 1984, he ran unsuccessfully for the House of Representatives from Washington's first congressional district. In the mid 1980's, he helped found and served on the Board of Directors of the Coast Alliance, an organization that tried to influence the government's coastal zone management plans. From 1985 until 1991, Evans was the Washington, D.C. representative of the Federation of Western Outdoor Clubs, and from 1989 to 1991 was on the Board of Directors of the Boundary Waters Wilderness Foundation. The Foundation raised funds and tried to expand the Boundary Waters Wilderness, as well as outlaw the use of motor vehicles for portaging. Throughout much of the 1970's, 1980's, and 1990's, Evans was on the Board of Directors of the League of Conservation voters and chaired its Political Strategy Committee. For the League, Evans helped review and choose political candidates for the group's endorsements. From 1989 to 1994, he was also on the Board of Directors of the Environmental Law Institute, a think tank for members of the American Environmental Bar. Evans also was a board member for RESTORE: The North Woods, a grassroots organization that pushed for forestland protection in the North Woods eco region (a region extending over the northern tier of states from Maine to Minnesota). He also served on the Steering Committee of the Environmental Coalition for North America in the late l980's. Â¶ The overlapping issues of race and the environmental activism surfaced many times during Evans's career. From 1984 to 1991 he was a board member for the Human Environment Center, an organization that tried to bridge the gap between mostly white, middle-class environmentalists, and underprivileged minorities who typically had little involvement in the movement. The Center focused largely on the environmental problems of the cities, especially those that affected mostly poor minority groups, and tried to get minorities more involved in environmental issues. In the early 1990's, the issue of race and environment again took center stage when Evans helped found the Green Wave Movement. The Movement's goal was \""to restore American life and the American continent\"" and creates \""the foundation of a new green society based on the principles of environmental justice and a sustainable economy.\"" However, the group became divided over internal issues, mostly focusing on the homogeneity of its leaders, which critics believed was paradigmatic of the environmental movement as a whole. For Evans, it was a difficult and frustrating experience and he stepped down from the Steering Committee to open a position for someone other than a white male. Â¶ After retiring as Vice-President for the Audubon Society in 1996, Evans remained in Washington, D.C. as a lobbying consultant and in this capacity has continued working for environmental groups. In 1997 Evans became President of the Endangered Species Coalition in Washington, D.C. The Coalition is an association of 450 environmental, scientific, and religious groups dedicated to protecting and strengthening the Endangered Species Act. Â¶ "
2011-001,"Phelps, Donald",Donald Phelps papers,[Biographical Historical Note Needed]
1835-041,"Phelps, Elaine Farkas",Elaine Phelps papers,[Biographical Historical Note Needed]
0097-004,"Matthews, Mark A. (Mark Allison), 1867-1940",Mark A. Matthews papers,"Mark Matthews was minister of the First Presbyterian Church in Seattle from 1902 until his death in 1940. During that time he had a significant role in Seattle's history. Â¶ Matthews's life reflects many of the currents and tensions that prevailed in America from the end of the Civil War to the beginning of the Second World War. He was deeply aware of the change in America from a rural orientation to an urban and industrialized one. Involved with the progressive movement, he found the implications of the First World War and the radical labor movement in Seattle threatening. In this context Matthews fought to make the Church a moving force within society and preserve his concept of religious orthodoxy. This led him to become a proponent of fundamentalism and an opponent of modernism within the Presbyterian church. Â¶ Born in Calhoun, Georgia, on September 24, 1867, Matthews received his formal education at the town's local academy. He was ordained there in 1887, and after brief ministries in Calhoun and Dalton, Georgia, he accepted a ministry in Jackson, Tennessee. Clearly part of the social gospel movement, Matthews attempted to adapt the church to urban conditions. During his years in Jackson, 1896-1901, he was instrumental in building a hospital, organizing a night school, and founding a local humane society. His work as an organizer and preacher earned him an honorary doctorate from Tennessee Normal University and soon after, a call to become minister to Seattle's First Presbyterian Church. Â¶ Matthews viewed himself as a progressive with the dual mission of expanding his church and rooting out the corruption prevalent in Seattle at that time. Membership in his congregation grew to ten thousand, the largest Presbyterian church in the world. At the same time, he waged active campaigns against Seattle mayors, police chiefs, business leaders, saloon keepers, and others whom he perceived as evil. Â¶ By 1912 Matthews had been elected moderator of the General Assembly of the Presbyterian Church. This led to a close association with Woodrow Wilson, and Matthews became a frequent guest at the White House. As Wilson's devoted follower, Matthews began to consider opponents of Wilson as well as Seattle's radical labor leaders in the International Woodworkers of the World grave threats to the security of the nation. Consequently he became increasingly conservative, calling for restriction of immigration and repressive measures in the context of the red scare of the 1920s, and increasingly strident in his support for such issues as Prohibition, fundamentalism, and William Jennings Bryan's crusade against the teaching of evolution. Strongly opinionated, Matthews made many enemies, but he also had thousands of devoted followers. While his theology was relatively simple, his life reveals the complexity of forces working in America as this Southerner in the Pacific Northwest attempted to lead Seattle to his own particular vision of righteousness.Â¶ "
1920-009,Pacific Northwest Library Association,Pacific Northwest Library Association records,"The Pacific Northwest Library Association (PNLA) was founded in 1909 during a three day conference at the Alaska-Yukon-Pacific Exposition in Seattle. The original members included librarians from Washington and Oregon, as well as the Provincial Librarian of British Columbia, but the membership grew to include librarians from Idaho, Montana and Utah. The PNLA affiliated with the American Library Association (ALA) in 1914. Among the achievements of the PNLA was the creation of the Subscription Books Bulletin in 1917, which eventually merged with another publication to become the ALA's Booklist. Although experiencing restructuring through the years, the PNLA celebrated its centennial in 2009 and remains the only regional library association to incorporate an international border. Â¶ "
